"","SPY.Date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted","SPY.Per_Rent","Lag1","Lag2","Lag3","Lag4","Lag5","Direction","SPY.Range"
"1017",NA,110.209999,110.410004,109.410004,109.769997,186937500,87.065552,0.512761333975797,86.621391,88.596382,90.333382,91.261398,90.135109,"Up",1
"3908",NA,425.679993,432.420013,424.829987,431.059998,99608200,428.179138,1.43303913981425,422.129852,428.457245,431.844482,433.324524,432.678864,"Up",7.59002599999997
"679",NA,126.699997,128,123.330002,124.120003,501087800,95.445175,3.97140631981592,91.799446,89.154121,93.351479,91.814735,96.402031,"Up",4.66999800000001
"2177",NA,201.380005,201.410004,200.220001,200.5,57462000,174.234116,-0.0548535200608602,174.329742,174.416641,173.92128,174.016876,174.086411,"Down",1.19000299999999
"930",NA,107.150002,107.160004,106.360001,106.720001,153799100,84.193138,0.0637536502476888,84.139496,84.265121,83.008827,82.663338,82.262924,"Up",0.800003000000004
"1533",NA,135.410004,135.589996,134.559998,135.360001,148602900,111.766846,0.12573269455427,111.626495,111.296165,111.015472,111.089775,109.554008,"Up",1.02999800000001
"471",NA,143.080002,143.910004,141.669998,141.679993,259012400,106.685097,-2.04642582942092,108.91394,108.251305,109.779892,109.591675,111.195526,"Down",2.24000599999999
"2347",NA,207.919998,209.380005,207.520004,208.869995,88244900,184.181061,0.398967761956137,183.449158,184.20752,186.341431,185.812363,183.819519,"Up",1.86000100000001
"270",NA,144.970001,145.029999,144.330002,144.889999,57081300,107.693962,0.0276368542797112,107.664207,107.634468,107.485802,106.846596,106.133034,"Up",0.699996999999996
"4050",NA,455.220001,457.880005,455.01001,457.540009,92589900,457.540009,1.46361089518068,450.940002,447.26001,448.700012,446.600006,457.350006,"Up",2.86999499999996
"1211",NA,118.279999,118.720001,118.07,118.489998,144305500,95.325546,0.0759712161213955,95.253181,95.237076,95.510605,95.494484,95.212929,"Up",0.650001000000003
"3379",NA,289.399994,289.980011,288.619995,289.579987,48945200,276.531158,0.412615580053943,275.394836,275.881836,275.948639,274.688171,271.966492,"Up",1.36001599999997
"597",NA,139.050003,139.660004,137.520004,137.639999,181376400,104.708839,-1.34042731573244,106.131454,106.116226,107.942017,108.824448,108.52784,"Down",2.13999999999999
"1301",NA,131,131.179993,129.809998,129.940002,301291800,105.086884,-1.85060112708814,107.068291,107.221954,106.291916,107.13295,107.941727,"Down",1.36999499999999
"3946",NA,448.640015,448.920013,444.109985,446.579987,83738600,443.595428,0.255927589414506,442.463043,445.979401,447.896484,448.44278,450.051971,"Up",4.81002799999999
"1974",NA,177.119995,177.529999,176.910004,177.320007,62614000,151.857666,0.0169641547482557,151.831909,149.810776,151.729156,150.958359,151.438019,"Up",0.619995000000017
"3566",NA,280.700012,281.940002,270.880005,274.359985,255316300,265.787415,-4.87483949642809,279.408112,265.661469,288.165588,293.009338,303.084473,"Down",11.059997
"330",NA,149.970001,150.399994,149.729996,150.350006,86569700,112.19548,0.541661796950477,111.591034,110.941818,110.658249,111.583588,111.673141,"Up",0.669997999999993
"1799",NA,153.660004,154.699997,153.639999,154.289993,121431900,130.222382,0.895882800395431,129.066101,128.382431,127.960434,128.213638,126.6185,"Up",1.05999800000001
"3913",NA,439.910004,439.940002,435.98999,439.01001,67397100,436.076019,-0.455758276634943,438.072571,436.999817,432.549713,431.645813,428.179138,"Down",3.95001200000002
"1615",NA,133.470001,133.529999,131.779999,132.050003,184772700,109.511635,0.0606339566567415,109.445274,107.040283,106.235825,106.285583,109.030632,"Up",1.75
"1749",NA,145.529999,145.580002,144.240005,144.289993,150895400,120.924622,-0.742920528751112,121.82972,120.488808,119.089249,119.53344,120.270943,"Down",1.33999700000001
"37",NA,128.669998,130.070007,128.649994,128.759995,73402500,93.967117,-0.463825053486833,94.404991,94.412285,93.580307,94.477959,94.44146,"Down",1.42001300000001
"1129",NA,103.639999,104.370003,101.879997,102.870003,256935300,82.318542,0.655568908333093,81.782402,82.230484,82.598587,83.390831,86.047539,"Up",2.49000599999999
"729",NA,87.510002,87.550003,81.860001,82.110001,369927100,63.140522,-8.85777725934311,69.276917,68.415665,65.870377,65.385925,61.148869,"Down",5.69000200000001
"878",NA,89.709999,89.82,88,88.059998,197088900,69.142601,-1.93768747471417,70.508842,70.516693,72.495331,72.196915,72.78582,"Down",1.81999999999999
"485",NA,151.059998,151.770004,147.199997,149.369995,322435600,112.475624,0.987038561714804,111.376297,114.516319,113.635277,113.657921,112.054008,"Up",4.570007
"3749",NA,362.829987,363.119995,359.170013,362.059998,83872700,355.780731,-0.442713091059277,357.362823,356.370331,356.920624,351.260468,349.16745,"Down",3.94998200000003
"1826",NA,158.679993,159.039993,157.919998,158.800003,116359900,134.624969,-0.245001297167258,134.955612,134.514771,132.8871,132.429245,131.539108,"Down",1.11999500000002
"2922",NA,246.240005,246.600006,243.089996,243.089996,128490400,224.542099,-1.55907028369415,228.098312,227.701126,227.728821,225.493454,225.160965,"Down",3.51000999999999
"2430",NA,196.259995,198.050003,194.960007,195.550003,152087800,173.274261,0.0716360613638889,173.150223,169.924866,175.152802,176.579391,176.570541,"Up",3.08999600000001
"3673",NA,335.440002,338.279999,335.410004,337.440002,53774400,330.265656,1.39423185320551,325.724304,328.435455,327.456696,327.221771,325.048981,"Up",2.86999499999996
"4012",NA,463.420013,470.859985,460.73999,470.600006,116899300,468.952454,1.56250172920109,461.737793,464.936584,469.091949,464.717346,467.876221,"Up",10.119995
"975",NA,109.25,109.760002,109.010002,109.43,134196000,86.331093,-0.355127382866516,86.638771,87.782684,87.837944,87.735374,86.480995,"Down",0.75
"2849",NA,238.830002,238.919998,237.779999,238.759995,61462700,219.472183,0.117419088474513,219.214783,219.481354,219.398636,218.847107,219.325073,"Up",1.13999899999999
"2900",NA,245.059998,245.720001,244.669998,245.660004,42742500,226.915985,0.0529423118266648,226.795914,226.823608,225.770584,225.391891,223.710754,"Up",1.050003
"2979",NA,258.970001,259.350006,258.089996,258.670013,57502200,240.11908,-0.0695416609875044,240.286179,239.914871,239.116547,239.023697,238.708069,"Down",1.26001000000002
"2374",NA,208.929993,210.350006,208.720001,210.25,85308200,185.397934,0.545167504882316,184.392685,185.186279,186.614792,186.015167,183.810684,"Up",1.63000500000001
"2378",NA,211.910004,212.589996,211.639999,211.889999,70696000,187.752945,0.512316222001363,186.795959,187.628891,185.697769,185.397934,184.392685,"Up",0.949997000000025
"554",NA,134.860001,135.550003,133.770004,134.850006,192947200,102.58638,0.0964917785866826,102.487488,100.479111,98.65181,101.157509,97.12265,"Up",1.779999
"1446",NA,112.620003,114.720001,111.580002,114.419998,284108000,93.881287,1.85153196794554,92.174644,90.197243,92.839249,95.218704,94.472031,"Up",3.139999
"2159",NA,192.940002,193.130005,190.550003,191.029999,135733000,166.004761,-0.541453573605744,166.908493,166.856293,168.490051,167.28215,167.794846,"Down",2.58000200000001
"3476",NA,303.429993,304.549988,301.98999,304.140015,49643900,293.195435,0.306732637639207,292.298859,292.38562,290.746857,289.561035,289.088684,"Up",2.55999800000001
"1948",NA,167.75,169.059998,167.529999,168.889999,96878000,144.638107,0.757664502624134,143.550476,144.88649,145.023499,143.884476,144.655258,"Up",1.529999
"2580",NA,205.25,206.070007,203.910004,204.020004,83757500,183.743591,-0.23470339961712,184.175858,183.680527,185.90506,183.896698,185.751968,"Down",2.16000300000002
"1530",NA,133.979996,134.509995,133.830002,134.449997,107694500,111.015472,-0.0668855436965266,111.089775,109.554008,109.380562,108.431053,108.472328,"Down",0.679992999999996
"2604",NA,206.210007,206.860001,204.380005,204.759995,96474600,184.410019,-0.871442654014531,186.031174,185.977142,187.733307,185.427734,185.274612,"Down",2.479996
"2937",NA,246.539993,247.110001,246.300003,246.580002,63832800,227.765793,-0.117468622318873,228.033661,228.06134,227.285461,228.929626,228.606339,"Down",0.809998000000007
"343",NA,152.699997,153.160004,152.380005,152.419998,82148800,113.740143,-0.0787000042616337,113.829727,113.889381,112.904419,113.128242,112.359665,"Down",0.779998999999975
"2630",NA,208.300003,208.919998,207.779999,208.440002,72461700,188.700562,0.283879060510461,188.166397,186.962357,187.661255,187.10289,187.364105,"Up",1.13999899999999
"3193",NA,291.059998,291.269989,290,290.880005,55079900,273.709839,0.0171956156507891,273.662781,272.05368,271.987793,271.093903,270.623444,"Up",1.26998900000001
"40",NA,127.699997,128.440002,127.18,128.240005,66692400,93.587639,0.210997710079708,93.390587,93.536537,93.967117,94.404991,94.412285,"Up",1.26000199999999
"3756",NA,370.880005,371.049988,365.950012,366.850006,74098300,360.487671,-0.896885271440706,363.750092,362.688812,363.435638,360.330444,360.428711,"Down",5.09997599999997
"537",NA,137.240005,137.960007,136.550003,136.869995,170831100,103.610123,-0.976722360735072,104.632088,104.738052,103.958366,102.663895,102.035576,"Down",1.41000399999999
"2423",NA,195.429993,195.449997,186.919998,187.270004,369833100,165.937485,-1.17676824160295,167.913437,175.29454,180.735107,184.589554,186.060501,"Down",8.529999
"248",NA,141.229996,142.050003,140.610001,141.669998,69620600,105.300591,0.212246061880683,105.077568,105.263367,105.701927,105.924904,105.233681,"Up",1.44000199999999
"1222",NA,120.580002,121.050003,119.980003,120.029999,163940800,96.564484,-0.141429405337157,96.701248,97.859741,98.22982,97.835609,98.543556,"Down",1.07000000000001
"2426",NA,198.5,199.839996,197.919998,199.279999,160414400,176.579391,0.00501216111694625,176.570541,172.308456,165.937485,167.913437,175.29454,"Up",1.91999800000002
"2087",NA,187.220001,187.330002,185.869995,186.289993,100380000,161.113647,-0.819892694366986,162.445526,162.116867,162.497452,161.762268,161.200104,"Down",1.46000700000002
"2483",NA,206.039993,208.899994,205.990005,208.729996,121342500,185.914429,1.58658721365208,183.010803,183.144348,180.401016,182.4496,185.032669,"Up",2.909989
"2858",NA,240.080002,240.080002,235.75,235.820007,172174100,216.769669,-1.77441524976714,220.685547,220.887741,219.674393,220.042053,220.492493,"Down",4.33000200000001
"1414",NA,112.959999,115.879997,112.5,112.639999,428281300,91.945107,-1.63304784251875,93.471542,97.68354,97.618217,98.458984,96.418297,"Down",3.379997
"1304",NA,126.589996,129.330002,126.5,128.559998,359585400,103.970818,-1.14573069768393,105.17585,105.814758,105.086884,107.068291,107.221954,"Down",2.83000200000001
"1696",NA,144.919998,145.149994,143.830002,144.5,113422200,121.100616,0.103919904905236,120.974899,120.656471,121.217949,120.086517,120.765388,"Up",1.31999199999998
"526",NA,134.910004,136.309998,133.979996,134.990005,256654400,102.187004,0.927093745747154,101.248337,100.733574,101.384552,100.718422,101.535965,"Up",2.33000200000001
